id,type,lease_fee_basis,lease_fee_base_sat,channel_fee_max_proportional_thousandths,channel_fee_max_base_msat,funding_weight,funding_feerate_perkw,lease_threshold,available_funds,min_their_funding,max_their_funding,per_channel_min,per_channel_max
0,LND,,,,,,,,,,,,
1,LND,,,,,,,,,,,,
2,LND,,,,,,,,,,,,
3,LND,,,,,,,,,,,,
4,LND,,,,,,,,,,,,
5,LND,,,,,,,,,,,,
6,LND,,,,,,,,,,,,
7,CLN,58,1722,111,52582,611,2549,0.91,9950246,100,10000000,100,10000000
8,LND,,,,,,,,,,,,
9,LND,,,,,,,,,,,,
10,LND,,,,,,,,,,,,
11,LND,,,,,,,,,,,,
12,LND,,,,,,,,,,,,
13,LND,,,,,,,,,,,,
14,LND,,,,,,,,,,,,
15,LND,,,,,,,,,,,,
16,LND,,,,,,,,,,,,
17,LND,,,,,,,,,,,,
18,LND,,,,,,,,,,,,
19,LND,,,,,,,,,,,,
20,CLN,68,2049,97,43128,739,2020,0.65,5960519,100,10000000,100,10000000
21,LND,,,,,,,,,,,,
22,LND,,,,,,,,,,,,
23,LND,,,,,,,,,,,,
24,LND,,,,,,,,,,,,
25,LND,,,,,,,,,,,,
26,CLN,56,1910,95,52719,582,2728,0.6,9390858,100,10000000,100,10000000
27,LND,,,,,,,,,,,,
28,LND,,,,,,,,,,,,
29,LND,,,,,,,,,,,,
30,LND,,,,,,,,,,,,
31,LND,,,,,,,,,,,,
32,LND,,,,,,,,,,,,
33,LND,,,,,,,,,,,,
34,LND,,,,,,,,,,,,
35,CLN,66,2026,90,51222,629,2876,0.84,4569302,100,10000000,100,10000000
36,LND,,,,,,,,,,,,
37,LND,,,,,,,,,,,,
38,LND,,,,,,,,,,,,
39,LND,,,,,,,,,,,,
40,LND,,,,,,,,,,,,
41,LND,,,,,,,,,,,,
42,LND,,,,,,,,,,,,
43,LND,,,,,,,,,,,,
44,LND,,,,,,,,,,,,
45,LND,,,,,,,,,,,,
46,LND,,,,,,,,,,,,
47,LND,,,,,,,,,,,,
48,LND,,,,,,,,,,,,
49,LND,,,,,,,,,,,,
50,LND,,,,,,,,,,,,
51,LND,,,,,,,,,,,,
52,LND,,,,,,,,,,,,
53,LND,,,,,,,,,,,,
54,LND,,,,,,,,,,,,
55,LND,,,,,,,,,,,,
56,CLN,61,1657,85,45316,639,2775,0.95,5759923,100,10000000,100,10000000
57,LND,,,,,,,,,,,,
58,LND,,,,,,,,,,,,
59,LND,,,,,,,,,,,,
60,CLN,68,1613,93,57234,726,2654,0.96,8660035,100,10000000,100,10000000
61,LND,,,,,,,,,,,,
62,LND,,,,,,,,,,,,
63,LND,,,,,,,,,,,,
64,LND,,,,,,,,,,,,
65,LND,,,,,,,,,,,,
66,LND,,,,,,,,,,,,
67,LND,,,,,,,,,,,,
68,LND,,,,,,,,,,,,
69,LND,,,,,,,,,,,,
70,LND,,,,,,,,,,,,
71,LND,,,,,,,,,,,,
72,LND,,,,,,,,,,,,
