id,type,lease_fee_basis,lease_fee_base_sat,channel_fee_max_proportional_thousandths,channel_fee_max_base_msat,funding_weight,funding_feerate_perkw,lease_threshold,available_funds,min_their_funding,max_their_funding,per_channel_min,per_channel_max
0,LND,,,,,,,,,,,,
1,LND,,,,,,,,,,,,
2,LND,,,,,,,,,,,,
3,LND,,,,,,,,,,,,
4,LND,,,,,,,,,,,,
5,LND,,,,,,,,,,,,
6,LND,,,,,,,,,,,,
7,LND,,,,,,,,,,,,
8,LND,,,,,,,,,,,,
9,CLN,75,1881,98,45570,715,2934,0.65,7023770,100,10000000,100,10000000
10,LND,,,,,,,,,,,,
11,LND,,,,,,,,,,,,
12,LND,,,,,,,,,,,,
13,LND,,,,,,,,,,,,
14,LND,,,,,,,,,,,,
15,LND,,,,,,,,,,,,
16,LND,,,,,,,,,,,,
17,LND,,,,,,,,,,,,
18,LND,,,,,,,,,,,,
19,LND,,,,,,,,,,,,
20,LND,,,,,,,,,,,,
21,LND,,,,,,,,,,,,
22,LND,,,,,,,,,,,,
23,LND,,,,,,,,,,,,
24,LND,,,,,,,,,,,,
25,LND,,,,,,,,,,,,
26,LND,,,,,,,,,,,,
27,LND,,,,,,,,,,,,
28,LND,,,,,,,,,,,,
29,LND,,,,,,,,,,,,
30,LND,,,,,,,,,,,,
31,LND,,,,,,,,,,,,
32,LND,,,,,,,,,,,,
33,LND,,,,,,,,,,,,
34,LND,,,,,,,,,,,,
35,LND,,,,,,,,,,,,
36,LND,,,,,,,,,,,,
37,LND,,,,,,,,,,,,
38,CLN,63,1552,94,44661,610,2811,0.98,4363903,100,10000000,100,10000000
39,LND,,,,,,,,,,,,
40,LND,,,,,,,,,,,,
41,LND,,,,,,,,,,,,
42,LND,,,,,,,,,,,,
43,LND,,,,,,,,,,,,
44,LND,,,,,,,,,,,,
45,LND,,,,,,,,,,,,
46,LND,,,,,,,,,,,,
47,LND,,,,,,,,,,,,
48,LND,,,,,,,,,,,,
49,LND,,,,,,,,,,,,
50,LND,,,,,,,,,,,,
51,LND,,,,,,,,,,,,
52,LND,,,,,,,,,,,,
53,LND,,,,,,,,,,,,
54,LND,,,,,,,,,,,,
55,LND,,,,,,,,,,,,
56,LND,,,,,,,,,,,,
57,LND,,,,,,,,,,,,
58,LND,,,,,,,,,,,,
59,LND,,,,,,,,,,,,
60,LND,,,,,,,,,,,,
61,LND,,,,,,,,,,,,
62,LND,,,,,,,,,,,,
63,LND,,,,,,,,,,,,
64,LND,,,,,,,,,,,,
65,LND,,,,,,,,,,,,
66,LND,,,,,,,,,,,,
67,LND,,,,,,,,,,,,
68,LND,,,,,,,,,,,,
69,LND,,,,,,,,,,,,
70,LND,,,,,,,,,,,,
71,LND,,,,,,,,,,,,
72,LND,,,,,,,,,,,,
73,LND,,,,,,,,,,,,
74,LND,,,,,,,,,,,,
75,LND,,,,,,,,,,,,
76,LND,,,,,,,,,,,,
77,CLN,74,1893,87,40202,701,2433,0.85,6812469,100,10000000,100,10000000
