id,type,lease_fee_basis,lease_fee_base_sat,channel_fee_max_proportional_thousandths,channel_fee_max_base_msat,funding_weight,funding_feerate_perkw,lease_threshold,available_funds,min_their_funding,max_their_funding,per_channel_min,per_channel_max
0,LND,,,,,,,,,,,,
1,LND,,,,,,,,,,,,
2,LND,,,,,,,,,,,,
3,LND,,,,,,,,,,,,
4,LND,,,,,,,,,,,,
5,LND,,,,,,,,,,,,
6,LND,,,,,,,,,,,,
7,LND,,,,,,,,,,,,
8,LND,,,,,,,,,,,,
9,LND,,,,,,,,,,,,
10,LND,,,,,,,,,,,,
11,LND,,,,,,,,,,,,
12,LND,,,,,,,,,,,,
13,LND,,,,,,,,,,,,
14,LND,,,,,,,,,,,,
15,CLN,58,1988,100,56179,650,2168,0.67,7028982,100,10000000,100,10000000
16,LND,,,,,,,,,,,,
17,LND,,,,,,,,,,,,
18,LND,,,,,,,,,,,,
19,LND,,,,,,,,,,,,
20,LND,,,,,,,,,,,,
21,LND,,,,,,,,,,,,
22,LND,,,,,,,,,,,,
23,CLN,73,1713,119,56195,717,2135,0.96,158323,100,10000000,100,10000000
24,LND,,,,,,,,,,,,
25,LND,,,,,,,,,,,,
26,LND,,,,,,,,,,,,
27,LND,,,,,,,,,,,,
28,LND,,,,,,,,,,,,
29,CLN,61,2396,111,58084,659,2221,0.82,2213526,100,10000000,100,10000000
30,LND,,,,,,,,,,,,
31,LND,,,,,,,,,,,,
32,CLN,62,1565,98,45537,742,2838,0.62,1618017,100,10000000,100,10000000
33,LND,,,,,,,,,,,,
34,LND,,,,,,,,,,,,
35,LND,,,,,,,,,,,,
36,LND,,,,,,,,,,,,
37,LND,,,,,,,,,,,,
38,LND,,,,,,,,,,,,
39,LND,,,,,,,,,,,,
40,LND,,,,,,,,,,,,
41,LND,,,,,,,,,,,,
42,LND,,,,,,,,,,,,
43,LND,,,,,,,,,,,,
44,LND,,,,,,,,,,,,
45,LND,,,,,,,,,,,,
46,LND,,,,,,,,,,,,
47,LND,,,,,,,,,,,,
48,LND,,,,,,,,,,,,
49,LND,,,,,,,,,,,,
50,LND,,,,,,,,,,,,
51,LND,,,,,,,,,,,,
52,LND,,,,,,,,,,,,
53,LND,,,,,,,,,,,,
54,LND,,,,,,,,,,,,
55,LND,,,,,,,,,,,,
56,LND,,,,,,,,,,,,
57,LND,,,,,,,,,,,,
58,LND,,,,,,,,,,,,
59,LND,,,,,,,,,,,,
60,LND,,,,,,,,,,,,
61,LND,,,,,,,,,,,,
62,LND,,,,,,,,,,,,
63,LND,,,,,,,,,,,,
64,CLN,63,1631,108,55196,575,2073,0.97,6349283,100,10000000,100,10000000
65,CLN,55,2097,116,58420,692,2282,0.6,2663624,100,10000000,100,10000000
66,LND,,,,,,,,,,,,
67,LND,,,,,,,,,,,,
68,LND,,,,,,,,,,,,
69,LND,,,,,,,,,,,,
70,LND,,,,,,,,,,,,
71,LND,,,,,,,,,,,,
72,LND,,,,,,,,,,,,
