id,sender_id,receiver_id,amount,start_time
0,7070,12909,9365,553
1,6849,12909,10555,788
2,10746,12909,9312,3007
3,8123,12909,8646,3833
4,1410,12909,9296,7678
5,12363,12909,9897,7760
6,10620,12909,10813,8325
7,9100,12909,11099,10851
8,4373,12909,10265,11317
9,2324,12909,8347,12357
10,10353,12909,10043,13270
11,6235,12909,9148,13850
12,4969,12909,9935,16061
13,391,12909,10968,16540
14,7506,12909,8888,17411
15,1539,12909,9661,17488
16,7087,12909,10603,17776
17,981,12909,10832,18871
18,4677,12909,9106,19309
19,11723,12909,9456,20977
20,3092,12909,10127,21681
21,1893,12909,11925,21748
22,8196,12909,9622,24463
23,6856,12909,11914,28516
24,5045,12909,11319,28744
25,10264,12909,9089,30612
26,2258,12909,8352,31926
27,7291,12909,9623,34658
28,6031,12909,11982,34750
29,5711,12909,7575,35023
30,4366,12909,9650,36426
31,2237,12909,12293,36483
32,7031,12909,10421,36600
33,5030,12909,7790,37464
34,8574,12909,9278,38488
35,4694,12909,10338,38808
36,10127,12909,10621,39750
37,757,12909,10921,39783
38,11185,12909,9673,43823
39,11185,12909,8771,44644
40,301,12909,10217,47713
41,5017,12909,10069,48284
42,3537,12909,9103,49475
43,7176,12909,11351,50055
44,6843,12909,11527,50732
45,6464,12909,9182,52807
46,6514,12909,11889,52901
47,4794,12909,10617,53553
48,345,12909,10916,54426
49,5732,12909,9156,57473
50,8646,12909,7400,57663
51,6479,12909,8828,57929
52,12998,12909,10176,58131
53,712,12909,8800,58250
54,5344,12909,11529,59510
55,4373,12909,8118,62558
56,7513,12909,10336,63003
57,9660,12909,9601,64320
58,5871,12909,10658,66613
59,3516,12909,8948,68272
60,4472,12909,9225,69513
61,12626,12909,9014,70104
62,5933,12909,9968,71921
63,2763,12909,8676,72650
64,1755,12909,10702,74615
65,5058,12909,8384,74898
66,3896,12909,12452,75986
67,3709,12909,9870,76812
68,1035,12909,10507,80066
69,1762,12909,9820,80466
70,8226,12909,9176,82792
71,3273,12909,9615,85393
72,5427,12909,9402,85946
73,277,12909,10506,86147
74,913,12909,9008,90040
75,9926,12909,9258,90492
76,12392,12909,9405,90840
77,1457,12909,9661,92042
78,7708,12909,7970,92720
79,10711,12909,8573,92754
