id,sender_id,receiver_id,amount,start_time
0,7070,302,9365,553
1,6849,302,10555,788
2,10746,302,9312,3007
3,8123,302,8646,3833
4,1410,302,9296,7678
5,12363,302,9897,7760
6,10620,302,10813,8325
7,9100,302,11099,10851
8,4373,302,10265,11317
9,2324,302,8347,12357
10,10353,302,10043,13270
11,6235,302,9148,13850
12,4969,302,9935,16061
13,391,302,10968,16540
14,7506,302,8888,17411
15,1539,302,9661,17488
16,7087,302,10603,17776
17,981,302,10832,18871
18,4677,302,9106,19309
19,11723,302,9456,20977
20,3092,302,10127,21681
21,1893,302,11925,21748
22,8196,302,9622,24463
23,6856,302,11914,28516
24,5045,302,11319,28744
25,10264,302,9089,30612
26,2258,302,8352,31926
27,7291,302,9623,34658
28,6031,302,11982,34750
29,5711,302,7575,35023
30,4366,302,9650,36426
31,2237,302,12293,36483
32,7031,302,10421,36600
33,5030,302,7790,37464
34,8574,302,9278,38488
35,4694,302,10338,38808
36,10127,302,10621,39750
37,757,302,10921,39783
38,11185,302,9673,43823
39,11185,302,8771,44644
40,301,302,10217,47713
41,5017,302,10069,48284
42,3537,302,9103,49475
43,7176,302,11351,50055
44,6843,302,11527,50732
45,6464,302,9182,52807
46,6514,302,11889,52901
47,4794,302,10617,53553
48,345,302,10916,54426
49,5732,302,9156,57473
50,8646,302,7400,57663
51,6479,302,8828,57929
52,12998,302,10176,58131
53,712,302,8800,58250
54,5344,302,11529,59510
55,4373,302,8118,62558
56,7513,302,10336,63003
57,9660,302,9601,64320
58,5871,302,10658,66613
59,3516,302,8948,68272
60,4472,302,9225,69513
61,12626,302,9014,70104
62,5933,302,9968,71921
63,2763,302,8676,72650
64,1755,302,10702,74615
65,5058,302,8384,74898
66,3896,302,12452,75986
67,3709,302,9870,76812
68,1035,302,10507,80066
69,1762,302,9820,80466
70,8226,302,9176,82792
71,3273,302,9615,85393
72,5427,302,9402,85946
73,277,302,10506,86147
74,913,302,9008,90040
75,9926,302,9258,90492
76,12392,302,9405,90840
77,1457,302,9661,92042
78,7708,302,7970,92720
79,10711,302,8573,92754
80,7056,302,9994,93763
81,340,302,9903,94354
82,6316,302,9971,94591
83,3610,302,10440,94958
84,327,302,8898,95034
85,2473,302,9176,95351
86,8167,302,8925,97128
87,6138,302,9792,98198
88,9263,302,10211,99016
89,10275,302,10579,99914
90,7276,302,9961,102436
91,8079,302,10509,102518
92,5661,302,9535,103050
93,3893,302,11879,105277
94,3131,302,9609,107014
95,11761,302,9221,108051
96,7688,302,10600,111427
97,7363,302,9566,114414
98,11284,302,10589,115304
99,2077,302,10660,117873
100,12910,302,9168,119303
101,10334,302,9136,121212
102,12290,302,9173,122132
103,6701,302,9198,123144
104,6790,302,7091,124755
105,11651,302,9733,125307
106,5486,302,9594,125629
107,9303,302,9347,126317
108,1865,302,10064,126693
109,8167,302,9684,127000
110,638,302,11690,128160
111,2653,302,9672,129663
112,4783,302,9507,130268
113,1956,302,9584,132700
114,786,302,9705,133841
115,598,302,10154,134856
116,899,302,10234,135041
117,9103,302,10333,135358
118,11118,302,10518,135437
119,7325,302,10633,135703
120,10230,302,10166,136358
121,11355,302,12496,136816
122,7798,302,11976,137182
123,444,302,7897,137531
124,10393,302,8631,137792
125,11317,302,9894,138293
126,1598,302,10604,140059
127,6011,302,11508,140958
128,6566,302,9368,143500
129,787,302,10852,143762
130,9029,302,12156,144222
131,9288,302,9676,144411
132,11680,302,10898,145265
133,3998,302,10402,145789
134,8420,302,9434,146106
135,8430,302,9632,148711
136,12221,302,10373,148827
137,3371,302,9517,149279
138,8658,302,9065,149382
139,1128,302,9466,149654
140,7133,302,7926,150005
141,3331,302,12488,150072
142,6,302,7256,150768
143,1713,302,10144,150948
144,8744,302,10771,152166
145,9550,302,11008,152931
146,7392,302,10615,153811
147,1100,302,10327,154907
148,10568,302,10015,156657
149,5319,302,11546,159393
150,6789,302,9051,160171
151,8463,302,10933,161278
152,2434,302,8853,161291
153,8550,302,10751,164017
154,7496,302,9574,164417
155,6611,302,11528,166049
156,2360,302,9770,167106
157,4449,302,8563,167344
158,5279,302,9471,168061
159,5266,302,10117,168269
160,10491,302,9372,168428
161,12469,302,10169,168552
162,1606,302,9383,171795
163,8808,302,10664,172618
164,1739,302,10229,172788
165,11298,302,10128,173485
166,5866,302,8822,174165
167,319,302,11328,175322
168,2749,302,11462,177560
169,5432,302,11488,178198
170,12950,302,9822,179384
171,11873,302,9944,179700
172,914,302,10303,179924
173,4919,302,10642,180203
174,1764,302,9585,181618
175,5268,302,9778,182201
176,6757,302,10340,183276
177,11013,302,10046,183421
178,3946,302,11085,183596
179,11526,302,9875,186933
180,1659,302,11912,187156
181,12874,302,10049,188501
182,3023,302,8947,188879
183,136,302,7787,191180
184,1302,302,9712,193118
185,8953,302,9597,193126
186,863,302,8843,193179
187,445,302,10556,194616
188,7204,302,11397,194789
189,10271,302,8469,195909
190,12505,302,8263,195917
191,7170,302,10169,195971
192,1784,302,11170,196125
193,1175,302,8211,196707
194,3241,302,10343,196834
195,9422,302,9393,199449
196,10028,302,9540,200419
197,887,302,11828,201217
198,4082,302,9262,203676
199,2627,302,10517,204718
200,4643,302,9429,207618
